DAY,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,23800.0,48588.0,42901.0,27661.0,45438.0,39617.0,30505.0,25133.0,38449.0,44725.0,29098.0,29582.0,29465.0,36420.0,28300.0,30771.0,39681.0,34649.0,42416.0,45356.0,40450.0,25329.0,27076.0,30005.0,32221.0,22786.0,37682.0,30731.0,34521.0,33638.0,42255.0,25796.0,24605.0,30984.0,33761.0,28058.0
2,23800.0,48588.0,42901.0,27661.0,45438.0,39617.0,30505.0,25133.0,38449.0,46769.0,29098.0,29582.0,29465.0,36420.0,28300.0,30771.0,39681.0,34649.0,42416.0,45356.0,40450.0,24748.0,27076.0,30005.0,32221.0,22786.0,37682.0,30731.0,34521.0,33638.0,42255.0,25796.0,24605.0,27208.0,33761.0,28058.0
3,23800.0,48588.0,42901.0,29549.0,45438.0,39617.0,30505.0,25133.0,45113.0,46769.0,29098.0,29582.0,29465.0,36420.0,28300.0,33702.0,39681.0,34649.0,42416.0,45356.0,40540.0,24748.0,27076.0,30005.0,32221.0,22786.0,37682.0,30752.0,34521.0,33638.0,42255.0,25796.0,23644.0,27208.0,33761.0,28058.0
4,23800.0,48588.0,41177.0,29549.0,45438.0,39617.0,30505.0,25133.0,45113.0,46769.0,29098.0,29582.0,29465.0,36420.0,27554.0,33702.0,39681.0,34649.0,42416.0,45356.0,40540.0,24748.0,27076.0,30005.0,32221.0,22786.0,35467.0,30752.0,34521.0,33638.0,42255.0,25796.0,23644.0,27208.0,33761.0,28058.0
5,23800.0,45004.0,41177.0,29549.0,45438.0,39617.0,30505.0,25385.0,45113.0,46769.0,29098.0,29582.0,29465.0,40483.0,27554.0,33702.0,39681.0,34649.0,42416.0,41380.0,40540.0,24748.0,27076.0,30005.0,32221.0,22332.0,35467.0,30752.0,34521.0,33638.0,42255.0,29803.0,23644.0,27208.0,33761.0,28058.0
6,25016.0,45004.0,41177.0,29549.0,45438.0,39617.0,29334.0,25385.0,45113.0,46769.0,29098.0,29582.0,26916.0,40483.0,27554.0,33702.0,39681.0,34649.0,50560.0,41380.0,40540.0,24748.0,27076.0,30005.0,32264.0,22332.0,35467.0,30752.0,34521.0,33638.0,42881.0,29803.0,23644.0,27208.0,33761.0,28058.0
7,25016.0,45004.0,41177.0,29549.0,45438.0,37334.0,29334.0,25385.0,45113.0,46769.0,29098.0,38074.0,26916.0,40483.0,27554.0,33702.0,39681.0,32011.0,50560.0,41380.0,40540.0,24748.0,27076.0,37842.0,32264.0,22332.0,35467.0,30752.0,34521.0,34884.0,42881.0,29803.0,23644.0,27208.0,33761.0,34116.0
8,25016.0,45004.0,41177.0,29549.0,41261.0,37334.0,29334.0,25385.0,45113.0,46769.0,30613.0,38074.0,26916.0,40483.0,27554.0,33702.0,37480.0,32011.0,50560.0,41380.0,40540.0,24748.0,29076.0,37842.0,32264.0,22332.0,35467.0,30752.0,36640.0,34884.0,42881.0,29803.0,23644.0,27208.0,30398.0,34116.0
9,25016.0,45004.0,41177.0,29549.0,41261.0,37334.0,29334.0,25385.0,45113.0,45190.0,30613.0,38074.0,26916.0,40483.0,27554.0,33702.0,37480.0,32011.0,50560.0,41380.0,40540.0,25254.0,29076.0,37842.0,32264.0,22332.0,35467.0,30752.0,36640.0,34884.0,42881.0,29803.0,23644.0,28339.0,30398.0,34116.0
10,25016.0,45004.0,41177.0,33626.0,41261.0,37334.0,29334.0,25385.0,46032.0,45190.0,30613.0,38074.0,26916.0,40483.0,27554.0,32699.0,37480.0,32011.0,50560.0,41380.0,40199.0,25254.0,29076.0,37842.0,32264.0,22332.0,35467.0,30618.0,36640.0,34884.0,42881.0,29803.0,24484.0,28339.0,30398.0,34116.0
