WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,137521.0,50654.0,70048.0,76168.0,81032.0,75234.0,93956.0,85741.0,62539.0,75925.0,88981.0,67282.0,99305.0,110477.0,67988.0,83518.0,100308.0,90766.0,77395.0,100125.0,97440.0,99787.0,61764.0,133052.0,64221.0,139289.0,100923.0,80786.0,127412.0,67910.0,64906.0,125346.0,208887.0,107232.0,131151.0,78555.0
2,125677.0,44429.0,74147.0,76177.0,91400.0,72890.0,84444.0,85818.0,68483.0,64929.0,83703.0,71431.0,92448.0,96479.0,62850.0,80326.0,69063.0,89101.0,62289.0,90471.0,82316.0,91470.0,53936.0,104598.0,76282.0,124572.0,87484.0,79766.0,113380.0,68435.0,63013.0,115351.0,177462.0,97740.0,134768.0,62060.0
3,107128.0,43431.0,73095.0,77918.0,87634.0,73821.0,74458.0,82383.0,69255.0,59940.0,82252.0,66625.0,73883.0,81975.0,62219.0,78742.0,60017.0,81864.0,57669.0,89828.0,77110.0,99930.0,60533.0,81035.0,78861.0,116482.0,83120.0,68884.0,102355.0,70922.0,58879.0,98626.0,144675.0,81978.0,127856.0,68306.0
4,94573.0,43905.0,71398.0,70008.0,88288.0,74783.0,66655.0,76781.0,64769.0,59677.0,80033.0,56110.0,56824.0,61123.0,57842.0,72322.0,73224.0,64119.0,59276.0,73205.0,69337.0,81050.0,69601.0,67273.0,80195.0,92981.0,84224.0,60827.0,113023.0,71911.0,67454.0,88375.0,126364.0,65222.0,113194.0,59301.0
5,75512.0,44323.0,64248.0,68934.0,105063.0,73721.0,71129.0,75121.0,59535.0,53550.0,78709.0,46927.0,58773.0,62136.0,44819.0,76819.0,77544.0,57117.0,64654.0,66376.0,74307.0,83414.0,62695.0,78224.0,80580.0,67174.0,85580.0,65098.0,107014.0,72748.0,60321.0,98272.0,118448.0,72061.0,100819.0,65378.0
6,63563.0,44464.0,59348.0,65996.0,113582.0,54125.0,69947.0,77599.0,71050.0,51676.0,65701.0,40988.0,62039.0,74025.0,36377.0,80914.0,78244.0,43201.0,77146.0,73413.0,78084.0,81647.0,76690.0,71650.0,99297.0,62519.0,86715.0,70169.0,94555.0,71836.0,55961.0,91390.0,111337.0,67075.0,77002.0,61845.0
7,59982.0,42276.0,61503.0,50719.0,123021.0,46482.0,74924.0,68598.0,76826.0,49072.0,46260.0,49221.0,71611.0,71456.0,40798.0,79456.0,72541.0,39756.0,73799.0,73623.0,75716.0,74206.0,68806.0,65870.0,155371.0,66277.0,87605.0,72788.0,87142.0,68133.0,40632.0,76466.0,108929.0,74666.0,65175.0,47502.0
8,56721.0,41840.0,64632.0,42836.0,133093.0,44474.0,74178.0,66325.0,76335.0,51291.0,43269.0,48311.0,74142.0,67163.0,39701.0,79802.0,81184.0,37291.0,62439.0,72936.0,77371.0,75262.0,49971.0,75596.0,157076.0,74020.0,88447.0,65059.0,79103.0,63092.0,36947.0,72025.0,89961.0,77316.0,65104.0,51530.0
9,56700.0,42149.0,72448.0,47477.0,118168.0,46287.0,74243.0,75236.0,71621.0,51392.0,42778.0,48493.0,71522.0,63619.0,36537.0,88392.0,101398.0,36619.0,61957.0,67959.0,76603.0,83413.0,48466.0,79506.0,91535.0,76460.0,84755.0,68500.0,78979.0,60467.0,36621.0,76376.0,69055.0,64448.0,60887.0,43331.0
10,57164.0,38337.0,71848.0,44621.0,104238.0,55503.0,76334.0,77129.0,66375.0,53622.0,42643.0,40360.0,66271.0,55241.0,37026.0,129798.0,221280.0,37411.0,57179.0,71151.0,76039.0,79659.0,63121.0,75938.0,97753.0,78403.0,75728.0,71300.0,77797.0,68566.0,37141.0,74877.0,65241.0,63101.0,58225.0,44072.0
11,55789.0,39097.0,73369.0,42491.0,95843.0,63334.0,76990.0,79312.0,72755.0,64614.0,48835.0,38505.0,67418.0,52771.0,37008.0,112927.0,254978.0,43438.0,51185.0,69778.0,76490.0,91791.0,57505.0,71088.0,107526.0,79242.0,68080.0,58408.0,69767.0,66630.0,37756.0,75435.0,63332.0,59994.0,68168.0,53541.0
12,59527.0,40408.0,78928.0,40251.0,102653.0,74099.0,77688.0,78773.0,78165.0,55943.0,53253.0,39472.0,63403.0,56261.0,36704.0,122057.0,252281.0,37934.0,50828.0,69090.0,69423.0,139018.0,58409.0,84580.0,109816.0,85494.0,75028.0,59907.0,69196.0,71930.0,38671.0,84998.0,57692.0,71124.0,57284.0,61268.0
13,67643.0,45333.0,70186.0,43808.0,105449.0,70885.0,82721.0,76768.0,92171.0,59313.0,55786.0,44991.0,171793.0,56279.0,36494.0,157352.0,239539.0,39496.0,67708.0,70607.0,66577.0,170191.0,58585.0,115739.0,115881.0,114469.0,79245.0,60107.0,70793.0,65780.0,40339.0,98762.0,63165.0,110870.0,59949.0,72047.0
14,72896.0,59637.0,61977.0,45337.0,115920.0,129937.0,93804.0,86461.0,104752.0,75637.0,64889.0,53165.0,345095.0,60891.0,37750.0,498628.0,262745.0,46602.0,78936.0,64675.0,81832.0,168644.0,76064.0,178042.0,114071.0,152671.0,81023.0,62667.0,97447.0,76632.0,44003.0,122679.0,70315.0,593302.0,59809.0,82236.0
