DAY,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,6198.0,9114.0,10038.0,6548.0,11548.0,4916.0,4924.0,9863.0,8340.0,8459.0,6105.0,7105.0,5021.0,9748.0,7348.0,13858.0,11231.0,7438.0,10824.0,6906.0,11627.0,5813.0,8308.0,7876.0,5453.0,6910.0,4001.0,5985.0,7533.0,8992.0,8285.0,4672.0,5412.0,6357.0,4663.0,8528.0
2,6198.0,9114.0,10038.0,6548.0,11548.0,4916.0,4924.0,9863.0,8340.0,8277.0,6105.0,7105.0,5021.0,9748.0,7348.0,13858.0,11231.0,7438.0,10824.0,6906.0,11627.0,4854.0,8308.0,7876.0,5453.0,6910.0,4001.0,5985.0,7533.0,8992.0,8285.0,4672.0,5412.0,5464.0,4663.0,8528.0
3,6198.0,9114.0,10038.0,5501.0,11548.0,4916.0,4924.0,9863.0,8213.0,8277.0,6105.0,7105.0,5021.0,9748.0,7348.0,12671.0,11231.0,7438.0,10824.0,6906.0,10077.0,4854.0,8308.0,7876.0,5453.0,6910.0,4001.0,5036.0,7533.0,8992.0,8285.0,4672.0,4730.0,5464.0,4663.0,8528.0
4,6198.0,9114.0,9171.0,5501.0,11548.0,4916.0,4924.0,9863.0,8213.0,8277.0,6105.0,7105.0,5021.0,9748.0,6683.0,12671.0,11231.0,7438.0,10824.0,6906.0,10077.0,4854.0,8308.0,7876.0,5453.0,6910.0,3970.0,5036.0,7533.0,8992.0,8285.0,4672.0,4730.0,5464.0,4663.0,8528.0
5,6198.0,8499.0,9171.0,5501.0,11548.0,4916.0,4924.0,10493.0,8213.0,8277.0,6105.0,7105.0,5021.0,8655.0,6683.0,12671.0,11231.0,7438.0,10824.0,6001.0,10077.0,4854.0,8308.0,7876.0,5453.0,6644.0,3970.0,5036.0,7533.0,8992.0,8285.0,4590.0,4730.0,5464.0,4663.0,8528.0
6,6713.0,8499.0,9171.0,5501.0,11548.0,4916.0,4630.0,10493.0,8213.0,8277.0,6105.0,7105.0,4545.0,8655.0,6683.0,12671.0,11231.0,7438.0,11364.0,6001.0,10077.0,4854.0,8308.0,7876.0,4869.0,6644.0,3970.0,5036.0,7533.0,8992.0,6681.0,4590.0,4730.0,5464.0,4663.0,8528.0
7,6713.0,8499.0,9171.0,5501.0,11548.0,4280.0,4630.0,10493.0,8213.0,8277.0,6105.0,6900.0,4545.0,8655.0,6683.0,12671.0,11231.0,6024.0,11364.0,6001.0,10077.0,4854.0,8308.0,8889.0,4869.0,6644.0,3970.0,5036.0,7533.0,8233.0,6681.0,4590.0,4730.0,5464.0,4663.0,9120.0
8,6713.0,8499.0,9171.0,5501.0,10639.0,4280.0,4630.0,10493.0,8213.0,8277.0,5993.0,6900.0,4545.0,8655.0,6683.0,12671.0,9429.0,6024.0,11364.0,6001.0,10077.0,4854.0,8409.0,8889.0,4869.0,6644.0,3970.0,5036.0,7366.0,8233.0,6681.0,4590.0,4730.0,5464.0,4657.0,9120.0
9,6713.0,8499.0,9171.0,5501.0,10639.0,4280.0,4630.0,10493.0,8213.0,7511.0,5993.0,6900.0,4545.0,8655.0,6683.0,12671.0,9429.0,6024.0,11364.0,6001.0,10077.0,5279.0,8409.0,8889.0,4869.0,6644.0,3970.0,5036.0,7366.0,8233.0,6681.0,4590.0,4730.0,4773.0,4657.0,9120.0
10,6713.0,8499.0,9171.0,5175.0,10639.0,4280.0,4630.0,10493.0,7458.0,7511.0,5993.0,6900.0,4545.0,8655.0,6683.0,10801.0,9429.0,6024.0,11364.0,6001.0,8496.0,5279.0,8409.0,8889.0,4869.0,6644.0,3970.0,7587.0,7366.0,8233.0,6681.0,4590.0,4256.0,4773.0,4657.0,9120.0
