WEEK,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,876.0,1667.0,1493.0,762.0,1960.0,751.0,996.0,1611.0,1657.0,1699.0,954.0,1639.0,898.0,1437.0,718.0,1187.0,752.0,970.0,1673.0,1621.0,1643.0,813.0,868.0,896.0,1072.0,731.0,892.0,782.0,953.0,1894.0,1390.0,762.0,1091.0,1160.0,974.0,969.0
2,1056.0,1532.0,1340.0,786.0,1901.0,713.0,915.0,2031.0,1634.0,1642.0,894.0,1787.0,770.0,1514.0,685.0,1050.0,714.0,952.0,1723.0,1452.0,1332.0,840.0,943.0,1081.0,985.0,692.0,977.0,744.0,959.0,1721.0,1433.0,745.0,1057.0,1077.0,944.0,924.0
3,1393.0,1429.0,1193.0,794.0,1840.0,664.0,817.0,1634.0,1532.0,1471.0,952.0,1586.0,728.0,1451.0,765.0,1018.0,665.0,919.0,1480.0,1309.0,1143.0,857.0,1040.0,1116.0,987.0,661.0,1032.0,711.0,1091.0,1626.0,1458.0,711.0,1012.0,1026.0,973.0,917.0
4,1530.0,1294.0,1083.0,765.0,1633.0,634.0,748.0,1348.0,1368.0,1357.0,1018.0,1391.0,711.0,1399.0,928.0,964.0,655.0,939.0,1382.0,1297.0,1408.0,871.0,1180.0,1648.0,1008.0,663.0,1037.0,736.0,1082.0,1460.0,1307.0,659.0,994.0,1126.0,970.0,946.0
5,1653.0,1188.0,1038.0,730.0,1390.0,637.0,703.0,1183.0,1195.0,1223.0,1136.0,1499.0,783.0,1432.0,1115.0,918.0,666.0,1087.0,1259.0,1410.0,1365.0,898.0,1314.0,1869.0,980.0,657.0,1076.0,755.0,909.0,1426.0,1369.0,630.0,969.0,1125.0,1020.0,1043.0
6,1399.0,1105.0,1011.0,678.0,1251.0,631.0,659.0,1174.0,1116.0,1154.0,1111.0,1554.0,918.0,1389.0,1281.0,951.0,663.0,1212.0,1171.0,1398.0,1302.0,891.0,1087.0,1794.0,854.0,652.0,1098.0,826.0,758.0,1287.0,1477.0,610.0,892.0,1235.0,1091.0,1216.0
7,1331.0,1087.0,988.0,679.0,1103.0,676.0,622.0,1301.0,1101.0,1112.0,1045.0,1421.0,863.0,1276.0,1383.0,1036.0,659.0,1259.0,1097.0,1440.0,1249.0,984.0,1097.0,1786.0,773.0,658.0,1049.0,975.0,782.0,1279.0,1439.0,601.0,800.0,1304.0,1069.0,1693.0
8,1525.0,1091.0,982.0,845.0,1047.0,671.0,609.0,1204.0,1104.0,1084.0,1110.0,1262.0,973.0,1293.0,1552.0,1022.0,659.0,1217.0,1086.0,1560.0,1213.0,1132.0,1100.0,1839.0,726.0,684.0,1121.0,1165.0,817.0,1709.0,1516.0,604.0,734.0,1259.0,1121.0,2079.0
9,1462.0,1126.0,954.0,952.0,1031.0,765.0,635.0,1146.0,1080.0,992.0,1237.0,1276.0,992.0,1305.0,1687.0,928.0,659.0,1229.0,1194.0,1590.0,1173.0,1172.0,1168.0,1541.0,721.0,721.0,1251.0,1272.0,884.0,2067.0,1890.0,616.0,709.0,1346.0,1139.0,1989.0
10,1496.0,1171.0,904.0,937.0,1040.0,757.0,708.0,1149.0,1089.0,948.0,1234.0,1596.0,1009.0,1387.0,1776.0,916.0,667.0,1270.0,1499.0,1550.0,1203.0,1262.0,1229.0,1306.0,794.0,765.0,1292.0,1399.0,1059.0,1883.0,1880.0,625.0,730.0,1363.0,1388.0,1984.0
11,1502.0,1157.0,852.0,914.0,1054.0,808.0,769.0,1105.0,1096.0,843.0,1188.0,2247.0,1208.0,1521.0,1819.0,944.0,715.0,1418.0,1546.0,1724.0,1224.0,1140.0,1286.0,1212.0,915.0,813.0,1422.0,1362.0,1044.0,2000.0,1770.0,730.0,808.0,1364.0,1274.0,2106.0
12,1411.0,1173.0,833.0,1272.0,1087.0,907.0,788.0,1073.0,1322.0,935.0,1155.0,2737.0,1198.0,1628.0,1843.0,996.0,808.0,1327.0,1354.0,1774.0,1222.0,1221.0,1244.0,1144.0,1047.0,845.0,1599.0,1149.0,915.0,2046.0,1984.0,886.0,926.0,1331.0,1284.0,2264.0
13,1319.0,1172.0,911.0,1270.0,1148.0,1285.0,806.0,1074.0,1596.0,1075.0,1020.0,2916.0,1220.0,1688.0,1836.0,961.0,831.0,1259.0,1238.0,1723.0,1225.0,1245.0,1240.0,1059.0,1007.0,857.0,1894.0,1146.0,943.0,2186.0,2195.0,966.0,953.0,1368.0,1569.0,2222.0
14,1339.0,1130.0,1019.0,2040.0,1248.0,1365.0,830.0,1067.0,1611.0,1013.0,1260.0,2473.0,1498.0,1786.0,1787.0,1112.0,853.0,1262.0,1254.0,1712.0,1178.0,1357.0,1260.0,1055.0,958.0,851.0,2210.0,1232.0,1035.0,2330.0,2209.0,1163.0,949.0,1238.0,1434.0,2434.0
15,1304.0,1091.0,1065.0,1994.0,1228.0,2082.0,854.0,1007.0,1464.0,1015.0,1360.0,2293.0,2011.0,2066.0,1645.0,1075.0,855.0,1258.0,1318.0,1597.0,1145.0,1285.0,1306.0,1058.0,1059.0,1414.0,2270.0,1189.0,957.0,2526.0,2236.0,1187.0,914.0,1158.0,1356.0,2477.0
16,1294.0,1010.0,1992.0,2419.0,1280.0,2206.0,853.0,954.0,1656.0,912.0,1546.0,2248.0,2196.0,2236.0,1612.0,1044.0,855.0,1289.0,1325.0,1379.0,1167.0,1291.0,1321.0,1084.0,1204.0,2090.0,2293.0,1150.0,887.0,2513.0,2261.0,1266.0,893.0,1219.0,1310.0,2491.0
17,1416.0,927.0,3019.0,2396.0,1657.0,2196.0,846.0,937.0,1608.0,887.0,1390.0,2211.0,2186.0,2435.0,1590.0,1184.0,847.0,1258.0,1548.0,1209.0,1065.0,2238.0,1253.0,1131.0,1133.0,2360.0,2577.0,1096.0,862.0,2382.0,2408.0,1305.0,905.0,1359.0,1194.0,2309.0
18,1710.0,872.0,3179.0,2247.0,3260.0,2644.0,843.0,926.0,1483.0,860.0,1646.0,2087.0,1936.0,2702.0,2182.0,1278.0,1520.0,1222.0,2257.0,1130.0,1026.0,2503.0,1269.0,1170.0,987.0,2696.0,3038.0,1109.0,940.0,2442.0,2451.0,1229.0,1004.0,1509.0,1119.0,1907.0
19,1521.0,848.0,2994.0,1893.0,3356.0,2701.0,958.0,924.0,1270.0,855.0,2146.0,2109.0,1705.0,3141.0,2507.0,1635.0,2605.0,1175.0,2530.0,1093.0,1065.0,2624.0,1400.0,1318.0,1007.0,2290.0,3513.0,1099.0,897.0,2354.0,2571.0,1314.0,1075.0,1418.0,1239.0,1455.0
20,1293.0,857.0,3285.0,1799.0,3336.0,2839.0,1854.0,1019.0,1200.0,862.0,1726.0,2554.0,1747.0,3600.0,2644.0,1479.0,3570.0,1173.0,2695.0,1060.0,1111.0,3516.0,1463.0,1755.0,1335.0,1921.0,3646.0,1174.0,905.0,2382.0,3044.0,1290.0,1069.0,2705.0,1402.0,1470.0
21,1156.0,907.0,3275.0,1525.0,3338.0,2192.0,3485.0,1084.0,1183.0,866.0,1885.0,2818.0,1535.0,3678.0,2566.0,1231.0,3661.0,1282.0,2534.0,1150.0,1392.0,3679.0,2422.0,1578.0,1535.0,1633.0,3632.0,2051.0,927.0,2709.0,3726.0,1156.0,1014.0,3341.0,2098.0,1684.0
22,1080.0,947.0,2526.0,1379.0,2525.0,1882.0,3449.0,1018.0,1070.0,837.0,2041.0,2599.0,1363.0,3445.0,2237.0,1060.0,2979.0,1054.0,2287.0,1399.0,2181.0,3597.0,2807.0,1277.0,1368.0,1359.0,3224.0,2023.0,875.0,3596.0,3652.0,1041.0,1059.0,3417.0,1902.0,1453.0
23,1076.0,917.0,2293.0,1226.0,1890.0,1737.0,3181.0,933.0,1328.0,831.0,1899.0,2974.0,1187.0,2894.0,2619.0,1003.0,2383.0,931.0,1826.0,1578.0,2345.0,3284.0,3456.0,1199.0,1163.0,1146.0,2553.0,1774.0,859.0,3250.0,3243.0,964.0,1065.0,2771.0,2455.0,1460.0
24,1240.0,880.0,2844.0,1187.0,3154.0,1774.0,3530.0,1468.0,1266.0,820.0,1360.0,3141.0,1103.0,2374.0,2871.0,1019.0,2257.0,839.0,1572.0,2010.0,1858.0,2629.0,3086.0,1117.0,975.0,1033.0,2050.0,1356.0,834.0,2634.0,2852.0,890.0,1025.0,1982.0,2164.0,2039.0
25,1303.0,848.0,2603.0,1159.0,2407.0,1519.0,3463.0,1557.0,1595.0,824.0,1190.0,2997.0,1327.0,1991.0,2984.0,941.0,1965.0,835.0,1295.0,1861.0,2455.0,1940.0,1962.0,1044.0,946.0,1012.0,1731.0,1445.0,820.0,2394.0,2354.0,823.0,1157.0,1461.0,1943.0,2391.0
26,1365.0,862.0,2329.0,1006.0,1873.0,1413.0,3185.0,1389.0,1756.0,804.0,1420.0,3134.0,2316.0,1575.0,3048.0,888.0,3253.0,808.0,1105.0,1291.0,2450.0,1594.0,1509.0,1010.0,1185.0,1266.0,1606.0,1565.0,798.0,1799.0,1858.0,810.0,1339.0,1233.0,1489.0,2508.0
27,1379.0,938.0,2088.0,871.0,1721.0,1300.0,2932.0,1335.0,1396.0,810.0,2295.0,3196.0,3176.0,1491.0,3147.0,824.0,3259.0,826.0,989.0,1677.0,2987.0,1438.0,1341.0,1573.0,1583.0,2171.0,1562.0,1515.0,1190.0,1600.0,1792.0,812.0,1197.0,1088.0,1533.0,2140.0
28,1286.0,950.0,1628.0,798.0,1911.0,1217.0,3135.0,1345.0,1111.0,1984.0,2611.0,3080.0,3192.0,1507.0,2905.0,763.0,3219.0,802.0,891.0,2565.0,3056.0,1316.0,1246.0,2967.0,1454.0,2914.0,1518.0,1283.0,1653.0,1554.0,1679.0,788.0,1064.0,966.0,1250.0,1824.0
29,1093.0,856.0,1352.0,741.0,1520.0,1275.0,3040.0,1429.0,1132.0,2387.0,1708.0,2955.0,3176.0,1482.0,2711.0,790.0,3171.0,710.0,917.0,3040.0,2963.0,1565.0,1243.0,2900.0,1333.0,2414.0,1352.0,1125.0,2144.0,1467.0,1793.0,793.0,1006.0,873.0,1162.0,1762.0
30,1480.0,773.0,1186.0,759.0,1407.0,2217.0,2404.0,1354.0,1098.0,1853.0,1567.0,2521.0,3149.0,1411.0,2562.0,794.0,2606.0,742.0,1036.0,3016.0,2315.0,1569.0,1155.0,2385.0,1025.0,1795.0,1167.0,1066.0,1502.0,1446.0,1793.0,801.0,939.0,852.0,1345.0,1669.0
31,2258.0,768.0,1106.0,903.0,1785.0,3134.0,1808.0,1173.0,1037.0,1717.0,1111.0,2118.0,3038.0,1370.0,2018.0,781.0,2571.0,787.0,1090.0,2558.0,1648.0,1628.0,1454.0,1695.0,967.0,1435.0,1029.0,1014.0,1485.0,1715.0,1879.0,810.0,920.0,786.0,1168.0,1616.0
32,2064.0,840.0,1056.0,1012.0,1591.0,3093.0,1580.0,1058.0,981.0,1439.0,1133.0,1829.0,2716.0,1324.0,1607.0,787.0,2138.0,805.0,1454.0,2754.0,1344.0,1472.0,2265.0,1257.0,895.0,1092.0,961.0,951.0,2040.0,2254.0,1872.0,819.0,904.0,772.0,1225.0,1637.0
33,1798.0,888.0,1026.0,1259.0,2125.0,2851.0,1391.0,989.0,935.0,1172.0,1245.0,2108.0,2466.0,1361.0,1474.0,730.0,1658.0,816.0,1629.0,2979.0,1273.0,1270.0,1910.0,1028.0,819.0,1013.0,918.0,894.0,3124.0,1771.0,2104.0,821.0,841.0,722.0,1488.0,1605.0
34,1537.0,1080.0,986.0,2820.0,2240.0,2109.0,1312.0,911.0,860.0,1059.0,1126.0,3006.0,2478.0,1326.0,1400.0,777.0,1477.0,786.0,1294.0,2373.0,1186.0,1036.0,2014.0,971.0,782.0,949.0,871.0,814.0,3124.0,1569.0,2436.0,831.0,839.0,762.0,1843.0,1432.0
