DAY,WS01,WS02,WS03,WS04,WS05,WS06,WS07,WS08,WS09,WS10,WS11,WS12,WS13,WS14,WS15,WS16,WS17,WS18,WS19,WS20,WS21,WS22,WS23,WS24,WS25,WS26,WS27,WS28,WS29,WS30,WS31,WS32,WS33,WS34,WS35,WS36
1,8499.0,11488.0,12194.0,7286.0,13593.0,9532.0,8931.0,10800.0,11012.0,12007.0,9070.0,10702.0,8350.0,11108.0,8274.0,9072.0,8448.0,9572.0,11713.0,11332.0,10042.0,7920.0,9475.0,8112.0,10797.0,7908.0,10054.0,8115.0,9089.0,11212.0,11861.0,11047.0,8651.0,10640.0,10401.0,8774.0
2,8499.0,11488.0,12194.0,7286.0,13593.0,9532.0,8931.0,10800.0,11012.0,13007.0,9070.0,10702.0,8350.0,11108.0,8274.0,9072.0,8448.0,9572.0,11713.0,11332.0,10042.0,8228.0,9475.0,8112.0,10797.0,7908.0,10054.0,8115.0,9089.0,11212.0,11861.0,11047.0,8651.0,10416.0,10401.0,8774.0
3,8499.0,11488.0,12194.0,7982.0,13593.0,9532.0,8931.0,10800.0,12355.0,13007.0,9070.0,10702.0,8350.0,11108.0,8274.0,9609.0,8448.0,9572.0,11713.0,11332.0,10927.0,8228.0,9475.0,8112.0,10797.0,7908.0,10054.0,8773.0,9089.0,11212.0,11861.0,11047.0,8891.0,10416.0,10401.0,8774.0
4,8499.0,11488.0,11005.0,7982.0,13593.0,9532.0,8931.0,10800.0,12355.0,13007.0,9070.0,10702.0,8350.0,11108.0,8374.0,9609.0,8448.0,9572.0,11713.0,11332.0,10927.0,8228.0,9475.0,8112.0,10797.0,7908.0,10379.0,8773.0,9089.0,11212.0,11861.0,11047.0,8891.0,10416.0,10401.0,8774.0
5,8499.0,12525.0,11005.0,7982.0,13593.0,9532.0,8931.0,13528.0,12355.0,13007.0,9070.0,10702.0,8350.0,11722.0,8374.0,9609.0,8448.0,9572.0,11713.0,10643.0,10927.0,8228.0,9475.0,8112.0,10797.0,8298.0,10379.0,8773.0,9089.0,11212.0,11861.0,11949.0,8891.0,10416.0,10401.0,8774.0
6,10776.0,12525.0,11005.0,7982.0,13593.0,9532.0,8704.0,13528.0,12355.0,13007.0,9070.0,10702.0,7558.0,11722.0,8374.0,9609.0,8448.0,9572.0,11871.0,10643.0,10927.0,8228.0,9475.0,8112.0,10720.0,8298.0,10379.0,8773.0,9089.0,11212.0,12508.0,11949.0,8891.0,10416.0,10401.0,8774.0
7,10776.0,12525.0,11005.0,7982.0,13593.0,10224.0,8704.0,13528.0,12355.0,13007.0,9070.0,11080.0,7558.0,11722.0,8374.0,9609.0,8448.0,9771.0,11871.0,10643.0,10927.0,8228.0,9475.0,10878.0,10720.0,8298.0,10379.0,8773.0,9089.0,12058.0,12508.0,11949.0,8891.0,10416.0,10401.0,9303.0
8,10776.0,12525.0,11005.0,7982.0,13023.0,10224.0,8704.0,13528.0,12355.0,13007.0,9234.0,11080.0,7558.0,11722.0,8374.0,9609.0,8303.0,9771.0,11871.0,10643.0,10927.0,8228.0,10595.0,10878.0,10720.0,8298.0,10379.0,8773.0,9316.0,12058.0,12508.0,11949.0,8891.0,10416.0,10775.0,9303.0
9,10776.0,12525.0,11005.0,7982.0,13023.0,10224.0,8704.0,13528.0,12355.0,13425.0,9234.0,11080.0,7558.0,11722.0,8374.0,9609.0,8303.0,9771.0,11871.0,10643.0,10927.0,9784.0,10595.0,10878.0,10720.0,8298.0,10379.0,8773.0,9316.0,12058.0,12508.0,11949.0,8891.0,10672.0,10775.0,9303.0
10,10776.0,12525.0,11005.0,9407.0,13023.0,10224.0,8704.0,13528.0,13400.0,13425.0,9234.0,11080.0,7558.0,11722.0,8374.0,9043.0,8303.0,9771.0,11871.0,10643.0,10578.0,9784.0,10595.0,10878.0,10720.0,8298.0,10379.0,8902.0,9316.0,12058.0,12508.0,11949.0,8921.0,10672.0,10775.0,9303.0
11,10776.0,12525.0,10053.0,9407.0,13023.0,10224.0,8704.0,13528.0,13400.0,13425.0,9234.0,11080.0,7558.0,11722.0,9058.0,9043.0,8303.0,9771.0,11871.0,10643.0,10578.0,9784.0,10595.0,10878.0,10720.0,8298.0,11806.0,8902.0,9316.0,12058.0,12508.0,11949.0,8921.0,10672.0,10775.0,9303.0
12,10776.0,12761.0,10053.0,9407.0,13023.0,10224.0,8704.0,12851.0,13400.0,13425.0,9234.0,11080.0,7558.0,12568.0,9058.0,9043.0,8303.0,9771.0,11871.0,10351.0,10578.0,9784.0,10595.0,10878.0,10720.0,8936.0,11806.0,8902.0,9316.0,12058.0,12508.0,11849.0,8921.0,10672.0,10775.0,9303.0
13,12635.0,12761.0,10053.0,9407.0,13023.0,10224.0,8866.0,12851.0,13400.0,13425.0,9234.0,11080.0,7394.0,12568.0,9058.0,9043.0,8303.0,9771.0,10302.0,10351.0,10578.0,9784.0,10595.0,10878.0,10877.0,8936.0,11806.0,8902.0,9316.0,12058.0,12603.0,11849.0,8921.0,10672.0,10775.0,9303.0
14,12635.0,12761.0,10053.0,9407.0,13023.0,10395.0,8866.0,12851.0,13400.0,13425.0,9234.0,10938.0,7394.0,12568.0,9058.0,9043.0,8303.0,9566.0,10302.0,10351.0,10578.0,9784.0,10595.0,11218.0,10877.0,8936.0,11806.0,8902.0,9316.0,12935.0,12603.0,11849.0,8921.0,10672.0,10775.0,9947.0
15,12635.0,12761.0,10053.0,9407.0,12296.0,10395.0,8866.0,12851.0,13400.0,13425.0,10772.0,10938.0,7394.0,12568.0,9058.0,9043.0,9534.0,9566.0,10302.0,10351.0,10578.0,9784.0,10762.0,11218.0,10877.0,8936.0,11806.0,8902.0,11100.0,12935.0,12603.0,11849.0,8921.0,10672.0,10706.0,9947.0
16,12635.0,12761.0,10053.0,9407.0,12296.0,10395.0,8866.0,12851.0,13400.0,13518.0,10772.0,10938.0,7394.0,12568.0,9058.0,9043.0,9534.0,9566.0,10302.0,10351.0,10578.0,10087.0,10762.0,11218.0,10877.0,8936.0,11806.0,8902.0,11100.0,12935.0,12603.0,11849.0,8921.0,11472.0,10706.0,9947.0
17,12635.0,12761.0,10053.0,10225.0,12296.0,10395.0,8866.0,12851.0,13742.0,13518.0,10772.0,10938.0,7394.0,12568.0,9058.0,9137.0,9534.0,9566.0,10302.0,10351.0,10901.0,10087.0,10762.0,11218.0,10877.0,8936.0,11806.0,10275.0,11100.0,12935.0,12603.0,11849.0,9656.0,11472.0,10706.0,9947.0
18,12635.0,12761.0,9508.0,10225.0,12296.0,10395.0,8866.0,12851.0,13742.0,13518.0,10772.0,10938.0,7394.0,12568.0,9388.0,9137.0,9534.0,9566.0,10302.0,10351.0,10901.0,10087.0,10762.0,11218.0,10877.0,8936.0,11911.0,10275.0,11100.0,12935.0,12603.0,11849.0,9656.0,11472.0,10706.0,9947.0
19,12635.0,12968.0,9508.0,10225.0,12296.0,10395.0,8866.0,11609.0,13742.0,13518.0,10772.0,10938.0,7394.0,11881.0,9388.0,9137.0,9534.0,9566.0,10302.0,10055.0,10901.0,10087.0,10762.0,11218.0,10877.0,8997.0,11911.0,10275.0,11100.0,12935.0,12603.0,11040.0,9656.0,11472.0,10706.0,9947.0
20,12619.0,12968.0,9508.0,10225.0,12296.0,10395.0,10216.0,11609.0,13742.0,13518.0,10772.0,10938.0,8121.0,11881.0,9388.0,9137.0,9534.0,9566.0,10672.0,10055.0,10901.0,10087.0,10762.0,11218.0,10760.0,8997.0,11911.0,10275.0,11100.0,12935.0,12272.0,11040.0,9656.0,11472.0,10706.0,9947.0
21,12619.0,12968.0,9508.0,10225.0,12296.0,10505.0,10216.0,11609.0,13742.0,13518.0,10772.0,12264.0,8121.0,11881.0,9388.0,9137.0,9534.0,9332.0,10672.0,10055.0,10901.0,10087.0,10762.0,12713.0,10760.0,8997.0,11911.0,10275.0,11100.0,13180.0,12272.0,11040.0,9656.0,11472.0,10706.0,11213.0
22,12619.0,12968.0,9508.0,10225.0,11287.0,10505.0,10216.0,11609.0,13742.0,13518.0,12265.0,12264.0,8121.0,11881.0,9388.0,9137.0,9136.0,9332.0,10672.0,10055.0,10901.0,10087.0,11142.0,12713.0,10760.0,8997.0,11911.0,10275.0,11628.0,13180.0,12272.0,11040.0,9656.0,11472.0,10833.0,11213.0
23,12619.0,12968.0,9508.0,10225.0,11287.0,10505.0,10216.0,11609.0,13742.0,13363.0,12265.0,12264.0,8121.0,11881.0,9388.0,9137.0,9136.0,9332.0,10672.0,10055.0,10901.0,11281.0,11142.0,12713.0,10760.0,8997.0,11911.0,10275.0,11628.0,13180.0,12272.0,11040.0,9656.0,11602.0,10833.0,11213.0
24,12619.0,12968.0,9508.0,9459.0,11287.0,10505.0,10216.0,11609.0,12768.0,13363.0,12265.0,12264.0,8121.0,11881.0,9388.0,9578.0,9136.0,9332.0,10672.0,10055.0,12656.0,11281.0,11142.0,12713.0,10760.0,8997.0,11911.0,10976.0,11628.0,13180.0,12272.0,11040.0,10238.0,11602.0,10833.0,11213.0
25,12619.0,12968.0,8975.0,9459.0,11287.0,10505.0,10216.0,11609.0,12768.0,13363.0,12265.0,12264.0,8121.0,11881.0,9477.0,9578.0,9136.0,9332.0,10672.0,10055.0,12656.0,11281.0,11142.0,12713.0,10760.0,8997.0,11063.0,10976.0,11628.0,13180.0,12272.0,11040.0,10238.0,11602.0,10833.0,11213.0
26,12619.0,11803.0,8975.0,9459.0,11287.0,10505.0,10216.0,11307.0,12768.0,13363.0,12265.0,12264.0,8121.0,11627.0,9477.0,9578.0,9136.0,9332.0,10672.0,12773.0,12656.0,11281.0,11142.0,12713.0,10760.0,9185.0,11063.0,10976.0,11628.0,13180.0,12272.0,9956.0,10238.0,11602.0,10833.0,11213.0
27,13334.0,11803.0,8975.0,9459.0,11287.0,10505.0,10653.0,11307.0,12768.0,13363.0,12265.0,12264.0,9245.0,11627.0,9477.0,9578.0,9136.0,9332.0,9952.0,12773.0,12656.0,11281.0,11142.0,12713.0,11371.0,9185.0,11063.0,10976.0,11628.0,13180.0,12460.0,9956.0,10238.0,11602.0,10833.0,11213.0
28,13334.0,11803.0,8975.0,9459.0,11287.0,11802.0,10653.0,11307.0,12768.0,13363.0,12265.0,13283.0,9245.0,11627.0,9477.0,9578.0,9136.0,9767.0,9952.0,12773.0,12656.0,11281.0,11142.0,13367.0,11371.0,9185.0,11063.0,10976.0,11628.0,13950.0,12460.0,9956.0,10238.0,11602.0,10833.0,12403.0
29,13334.0,11803.0,8975.0,9459.0,10254.0,11802.0,10653.0,11307.0,12768.0,13363.0,12684.0,13283.0,9245.0,11627.0,9477.0,9578.0,9006.0,9767.0,9952.0,12773.0,12656.0,11281.0,11823.0,13367.0,11371.0,9185.0,11063.0,10976.0,12208.0,13950.0,12460.0,9956.0,10238.0,11602.0,10921.0,12403.0
30,13334.0,11803.0,8975.0,9459.0,10254.0,11802.0,10653.0,11307.0,12768.0,13403.0,12684.0,13283.0,9245.0,11627.0,9477.0,9578.0,9006.0,9767.0,9952.0,12773.0,12656.0,12091.0,11823.0,13367.0,11371.0,9185.0,11063.0,10976.0,12208.0,13950.0,12460.0,9956.0,10238.0,10271.0,10921.0,12403.0
31,13334.0,11803.0,8975.0,9317.0,10254.0,11802.0,10653.0,11307.0,10635.0,13403.0,12684.0,13283.0,9245.0,11627.0,9477.0,9732.0,9006.0,9767.0,9952.0,12773.0,12642.0,12091.0,11823.0,13367.0,11371.0,9185.0,11063.0,11922.0,12208.0,13950.0,12460.0,9956.0,11843.0,10271.0,10921.0,12403.0
32,13334.0,11803.0,9292.0,9317.0,10254.0,11802.0,10653.0,11307.0,10635.0,13403.0,12684.0,13283.0,9245.0,11627.0,9948.0,9732.0,9006.0,9767.0,9952.0,12773.0,12642.0,12091.0,11823.0,13367.0,11371.0,9185.0,12519.0,11922.0,12208.0,13950.0,12460.0,9956.0,11843.0,10271.0,10921.0,12403.0
33,13334.0,11727.0,9292.0,9317.0,10254.0,11802.0,10653.0,10941.0,10635.0,13403.0,12684.0,13283.0,9245.0,11058.0,9948.0,9732.0,9006.0,9767.0,9952.0,12334.0,12642.0,12091.0,11823.0,13367.0,11371.0,11267.0,12519.0,11922.0,12208.0,13950.0,12460.0,10194.0,11843.0,10271.0,10921.0,12403.0
34,11916.0,11727.0,9292.0,9317.0,10254.0,11802.0,9648.0,10941.0,10635.0,13403.0,12684.0,13283.0,11278.0,11058.0,9948.0,9732.0,9006.0,9767.0,9760.0,12334.0,12642.0,12091.0,11823.0,13367.0,11334.0,11267.0,12519.0,11922.0,12208.0,13950.0,12767.0,10194.0,11843.0,10271.0,10921.0,12403.0
35,11916.0,11727.0,9292.0,9317.0,10254.0,11514.0,9648.0,10941.0,10635.0,13403.0,12684.0,12723.0,11278.0,11058.0,9948.0,9732.0,9006.0,10400.0,9760.0,12334.0,12642.0,12091.0,11823.0,13279.0,11334.0,11267.0,12519.0,11922.0,12208.0,13345.0,12767.0,10194.0,11843.0,10271.0,10921.0,12425.0
36,11916.0,11727.0,9292.0,9317.0,9661.0,11514.0,9648.0,10941.0,10635.0,13403.0,12153.0,12723.0,11278.0,11058.0,9948.0,9732.0,9064.0,10400.0,9760.0,12334.0,12642.0,12091.0,11416.0,13279.0,11334.0,11267.0,12519.0,11922.0,11853.0,13345.0,12767.0,10194.0,11843.0,10271.0,12152.0,12425.0
37,11916.0,11727.0,9292.0,9317.0,9661.0,11514.0,9648.0,10941.0,10635.0,11781.0,12153.0,12723.0,11278.0,11058.0,9948.0,9732.0,9064.0,10400.0,9760.0,12334.0,12642.0,12087.0,11416.0,13279.0,11334.0,11267.0,12519.0,11922.0,11853.0,13345.0,12767.0,10194.0,11843.0,11742.0,12152.0,12425.0
38,11916.0,11727.0,9292.0,10350.0,9661.0,11514.0,9648.0,10941.0,9659.0,11781.0,12153.0,12723.0,11278.0,11058.0,9948.0,9935.0,9064.0,10400.0,9760.0,12334.0,12943.0,12087.0,11416.0,13279.0,11334.0,11267.0,12519.0,12349.0,11853.0,13345.0,12767.0,10194.0,10280.0,11742.0,12152.0,12425.0
39,11916.0,11727.0,11038.0,10350.0,9661.0,11514.0,9648.0,10941.0,9659.0,11781.0,12153.0,12723.0,11278.0,11058.0,10947.0,9935.0,9064.0,10400.0,9760.0,12334.0,12943.0,12087.0,11416.0,13279.0,11334.0,11267.0,12126.0,12349.0,11853.0,13345.0,12767.0,10194.0,10280.0,11742.0,12152.0,12425.0
40,11916.0,11362.0,11038.0,10350.0,9661.0,11514.0,9648.0,12274.0,9659.0,11781.0,12153.0,12723.0,11278.0,9911.0,10947.0,9935.0,9064.0,10400.0,9760.0,12859.0,12943.0,12087.0,11416.0,13279.0,11334.0,9719.0,12126.0,12349.0,11853.0,13345.0,12767.0,10460.0,10280.0,11742.0,12152.0,12425.0
41,11227.0,11362.0,11038.0,10350.0,9661.0,11514.0,9521.0,12274.0,9659.0,11781.0,12153.0,12723.0,11129.0,9911.0,10947.0,9935.0,9064.0,10400.0,9397.0,12859.0,12943.0,12087.0,11416.0,13279.0,11058.0,9719.0,12126.0,12349.0,11853.0,13345.0,12319.0,10460.0,10280.0,11742.0,12152.0,12425.0
42,11227.0,11362.0,11038.0,10350.0,9661.0,12402.0,9521.0,12274.0,9659.0,11781.0,12153.0,13383.0,11129.0,9911.0,10947.0,9935.0,9064.0,12223.0,9397.0,12859.0,12943.0,12087.0,11416.0,13339.0,11058.0,9719.0,12126.0,12349.0,11853.0,13340.0,12319.0,10460.0,10280.0,11742.0,12152.0,12939.0
43,11227.0,11362.0,11038.0,10350.0,9697.0,12402.0,9521.0,12274.0,9659.0,11781.0,10580.0,13383.0,11129.0,9911.0,10947.0,9935.0,9152.0,12223.0,9397.0,12859.0,12943.0,12087.0,11812.0,13339.0,11058.0,9719.0,12126.0,12349.0,11889.0,13340.0,12319.0,10460.0,10280.0,11742.0,12028.0,12939.0
44,11227.0,11362.0,11038.0,10350.0,9697.0,12402.0,9521.0,12274.0,9659.0,10401.0,10580.0,13383.0,11129.0,9911.0,10947.0,9935.0,9152.0,12223.0,9397.0,12859.0,12943.0,11635.0,11812.0,13339.0,11058.0,9719.0,12126.0,12349.0,11889.0,13340.0,12319.0,10460.0,10280.0,12753.0,12028.0,12939.0
45,11227.0,11362.0,11038.0,12088.0,9697.0,12402.0,9521.0,12274.0,11687.0,10401.0,10580.0,13383.0,11129.0,9911.0,10947.0,10273.0,9152.0,12223.0,9397.0,12859.0,12448.0,11635.0,11812.0,13339.0,11058.0,9719.0,12126.0,12296.0,11889.0,13340.0,12319.0,10460.0,10676.0,12753.0,12028.0,12939.0
46,11227.0,11362.0,11816.0,12088.0,9697.0,12402.0,9521.0,12274.0,11687.0,10401.0,10580.0,13383.0,11129.0,9911.0,10550.0,10273.0,9152.0,12223.0,9397.0,12859.0,12448.0,11635.0,11812.0,13339.0,11058.0,9719.0,12090.0,12296.0,11889.0,13340.0,12319.0,10460.0,10676.0,12753.0,12028.0,12939.0
47,11227.0,12703.0,11816.0,12088.0,9697.0,12402.0,9521.0,11940.0,11687.0,10401.0,10580.0,13383.0,11129.0,11071.0,10550.0,10273.0,9152.0,12223.0,9397.0,12899.0,12448.0,11635.0,11812.0,13339.0,11058.0,11405.0,12090.0,12296.0,11889.0,13340.0,12319.0,9784.0,10676.0,12753.0,12028.0,12939.0
48,11523.0,12703.0,11816.0,12088.0,9697.0,12402.0,10288.0,11940.0,11687.0,10401.0,10580.0,13383.0,11549.0,11071.0,10550.0,10273.0,9152.0,12223.0,9883.0,12899.0,12448.0,11635.0,11812.0,13339.0,10665.0,11405.0,12090.0,12296.0,11889.0,13340.0,11511.0,9784.0,10676.0,12753.0,12028.0,12939.0
49,11523.0,12703.0,11816.0,12088.0,9697.0,12325.0,10288.0,11940.0,11687.0,10401.0,10580.0,13448.0,11549.0,11071.0,10550.0,10273.0,9152.0,12876.0,9883.0,12899.0,12448.0,11635.0,11812.0,12781.0,10665.0,11405.0,12090.0,12296.0,11889.0,12895.0,11511.0,9784.0,10676.0,12753.0,12028.0,13808.0
50,11523.0,12703.0,11816.0,12088.0,11089.0,12325.0,10288.0,11940.0,11687.0,10401.0,13233.0,13448.0,11549.0,11071.0,10550.0,10273.0,9385.0,12876.0,9883.0,12899.0,12448.0,11635.0,11554.0,12781.0,10665.0,11405.0,12090.0,12296.0,12039.0,12895.0,11511.0,9784.0,10676.0,12753.0,11499.0,13808.0
51,11523.0,12703.0,11816.0,12088.0,11089.0,12325.0,10288.0,11940.0,11687.0,11470.0,13233.0,13448.0,11549.0,11071.0,10550.0,10273.0,9385.0,12876.0,9883.0,12899.0,12448.0,11498.0,11554.0,12781.0,10665.0,11405.0,12090.0,12296.0,12039.0,12895.0,11511.0,9784.0,10676.0,12552.0,11499.0,13808.0
52,11523.0,12703.0,11816.0,12142.0,11089.0,12325.0,10288.0,11940.0,12098.0,11470.0,13233.0,13448.0,11549.0,11071.0,10550.0,10115.0,9385.0,12876.0,9883.0,12899.0,12958.0,11498.0,11554.0,12781.0,10665.0,11405.0,12090.0,12684.0,12039.0,12895.0,11511.0,9784.0,11846.0,12552.0,11499.0,13808.0
53,11523.0,12703.0,12106.0,12142.0,11089.0,12325.0,10288.0,11940.0,12098.0,11470.0,13233.0,13448.0,11549.0,11071.0,11355.0,10115.0,9385.0,12876.0,9883.0,12899.0,12958.0,11498.0,11554.0,12781.0,10665.0,11405.0,12734.0,12684.0,12039.0,12895.0,11511.0,9784.0,11846.0,12552.0,11499.0,13808.0
54,11523.0,12740.0,12106.0,12142.0,11089.0,12325.0,10288.0,11784.0,12098.0,11470.0,13233.0,13448.0,11549.0,12638.0,11355.0,10115.0,9385.0,12876.0,9883.0,13687.0,12958.0,11498.0,11554.0,12781.0,10665.0,12577.0,12734.0,12684.0,12039.0,12895.0,11511.0,10136.0,11846.0,12552.0,11499.0,13808.0
