base_name,rp,time_to_cluster
convex_cross,10,14.2474137
convex_cross,20,7.2285285
convex_cross,40,12.3199079
convex_cross,60,19.6371289
convex_cross,80,26.0403291
convex_cross,100,34.437332
convex_cross,150,110.8957334
convex_cross,225,180.8707394
convex_cross,300,249.5789995
convex_per,10,4.5785541
convex_per,20,5.4442246
convex_per,40,6.8952832
convex_per,60,8.4997771
convex_per,80,9.9293034
convex_per,100,11.4481494
convex_per,150,15.4572959
convex_per,225,22.3743657
convex_per,300,33.9089551

