base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol_e,reduced_num_lol_h2,reduced_lol_e,reduced_lol_h2,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,num_loss_of_load_h2_demand,loss_of_load_e_demand,loss_of_load_h2_demand
0_HourlyBenchmark,1,Xpress,0.0,109.702259,511.5343044,4680.945521,92.0314571,4.8620311032507324e8,OPTIMAL,0,0,0.0,0.0,34120200,23739823,0.0,0.0,,327,119,1361.735551368635,106.0139804895717
convex_cross,10,Xpress,198.7247338,4.2676762,31.2629989,69.8519829,0.9526906,5.421080068940506e8,OPTIMAL,4,3,3.558173706975361,2.4192418611871833,410445,204798,762.1732884,5.29172918075016e8,OPTIMAL,98,0,1749.2638923347304,9.239276010930553e-11
convex_cross,20,Xpress,467.2952193,8.6456313,43.7113834,160.0066724,1.6733902,5.229382462184906e8,OPTIMAL,276,178,1167.6209476907345,375.19774536971227,563565,323598,578.1922393,4.976830636102371e8,OPTIMAL,458,25,1119.2075707677477,20.433789954092394
convex_cross,40,Xpress,786.1288271,15.5134206,68.7404553,413.2070755,2.3967321,5.084809675267105e8,OPTIMAL,326,218,1593.6395835523729,508.03485504262187,869805,561198,625.3247924,4.921774152641907e8,OPTIMAL,758,32,1348.3080326309996,17.785388126092393
convex_cross,60,Xpress,836.3553755,18.4408857,81.6023165,767.7572144,4.0293505,5.152187093371048e8,OPTIMAL,573,683,13009.270480874175,5668.531929796808,1176045,798798,684.5709447,4.9489977984607697e8,OPTIMAL,230,10,294.31563312820344,5.18264840409239
convex_cross,80,Xpress,1300.3692473,21.561928,85.9648591,941.0740267,6.1887606,5.1241156394750977e8,OPTIMAL,565,682,12953.701594796697,5675.080907563018,1482285,1036398,649.5714881,4.941002742145157e8,OPTIMAL,212,5,226.9953339701397,2.2945205480923927
convex_cross,100,Xpress,1892.6597862,71.3141197,139.4379612,1334.7723126,7.3297927,5.084767530085678e8,OPTIMAL,570,671,13017.215991019675,5588.961897213936,1788525,1273998,683.3806757,4.9327424018429565e8,OPTIMAL,210,8,223.39933687360926,3.58447488709239
convex_cross,150,Xpress,2842.8455614,43.678053,132.780888,2197.2514623,7.7031333,5.0599816920996857e8,OPTIMAL,585,670,13083.825672257328,5596.846922959796,2554125,1867998,706.9432003,4.9250912173197937e8,OPTIMAL,246,8,332.66926910308257,4.178082192092391
convex_cross,225,Xpress,3284.1538579,60.6447903,220.0818008,4800.5445958,14.4029306,5.031509057611847e8,OPTIMAL,590,677,13072.109604903178,5636.916713672297,3702525,2758998,668.4273672,4.9219928146717834e8,OPTIMAL,220,10,306.61420041035626,4.84018265009239
convex_cross,300,Xpress,1170.9568604,33.5481307,191.4918295,8380.2941779,15.4554282,5.011863344431534e8,OPTIMAL,599,675,13143.071885737949,5595.047182699569,4850925,3649998,894.2105415,4.9233170484755707e8,OPTIMAL,251,18,358.06059890058935,10.54794520809239
