base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.0006384,5.158928,4.9264874,0.5791945,478.4794048830108,OPTIMAL,122640,105125,0.0,0.0,,10
convex_cross,4,Gurobi,4.0729351,0.3240188,1.1649709,0.0072433,0.0085324,531.6245823955225,OPTIMAL,672,581,0.0784755,512.8783066104307,OPTIMAL,0
convex_cross,8,Gurobi,2.4416307,0.3194881,0.8731845,0.0116276,0.0115891,541.3648080504657,OPTIMAL,1344,1157,0.0764324,509.5668672599687,OPTIMAL,0
convex_cross,12,Gurobi,1.5995081,0.2792428,0.830043,0.0190487,0.0160292,533.6708757755739,OPTIMAL,2016,1733,0.0410519,508.20948030658917,OPTIMAL,0
convex_cross,16,Gurobi,2.6350361,0.270289,0.7708584,0.0534497,0.0201454,520.9285222192549,OPTIMAL,2688,2309,0.0487055,507.2440226000564,OPTIMAL,0
convex_cross,20,Gurobi,2.8002243,0.2858638,0.8394093,0.031514,0.0181094,518.8672709764664,OPTIMAL,3360,2885,0.0374709,504.01578599499464,OPTIMAL,0
convex_cross,30,Gurobi,4.9926335,0.3233377,0.9391053,0.053114,0.0239872,516.4941602254396,OPTIMAL,5040,4325,0.0402793,505.96991441444277,OPTIMAL,0
convex_cross,60,Gurobi,10.7195614,0.3793486,1.1008417,0.1961173,0.0417697,503.9495005253342,OPTIMAL,10080,8645,0.0402131,483.9941099390659,OPTIMAL,0
convex_cross,90,Gurobi,17.0959036,0.362297,0.9172359,0.3930373,0.0628508,473.35465290801955,OPTIMAL,15120,12965,0.039742,487.8314495300057,OPTIMAL,30
convex_cross,120,Gurobi,21.7553024,0.3936367,1.0618937,0.3791783,0.0759103,476.53921747470383,OPTIMAL,20160,17285,0.0427911,479.31753882518876,OPTIMAL,8
convex_cross,180,Gurobi,35.3416387,0.4634278,1.1756288,0.7228608,0.1167077,475.8523465912269,OPTIMAL,30240,25925,0.0380345,478.593911155763,OPTIMAL,11
