base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,5.8280989,16.3729849,10.2162766,2.3717699,490.37233247512637,OPTIMAL,122640,105125,0.0,0.0,,9
convex_cross,4,Gurobi,15.3992472,0.3721171,1.013348,0.0075508,0.0133777,580.2909516719626,OPTIMAL,672,581,0.1118095,529.8061811051342,OPTIMAL,0
convex_cross,8,Gurobi,1.4291926,0.37603,1.1221461,0.014417,0.0168741,567.4787076868519,OPTIMAL,1344,1157,0.0559947,527.2898537556777,OPTIMAL,0
convex_cross,12,Gurobi,2.4594279,0.3888824,1.1085446,0.0202927,0.0161258,554.1409728569313,OPTIMAL,2016,1733,0.0576696,521.2239375858887,OPTIMAL,0
convex_cross,16,Gurobi,3.1616185,0.4046418,1.1392582,0.0312013,0.0289797,543.8876479972342,OPTIMAL,2688,2309,0.0478935,519.9052922630618,OPTIMAL,0
convex_cross,20,Gurobi,4.183383,0.384702,1.1611167,0.0383448,0.0330831,529.4736432578644,OPTIMAL,3360,2885,0.0453043,519.3189910634843,OPTIMAL,0
convex_cross,30,Gurobi,8.1887366,0.4314421,1.118695,0.071326,0.0466968,541.0806460722854,OPTIMAL,5040,4325,0.0750124,515.989171291126,OPTIMAL,0
convex_cross,60,Gurobi,16.4328439,0.4793386,1.3353319,0.1872896,0.0478997,509.7942830054902,OPTIMAL,10080,8645,0.0537384,493.3510509038853,OPTIMAL,3
convex_cross,90,Gurobi,25.3449846,0.5558818,1.4297538,0.4213131,0.115044,506.1760512452941,OPTIMAL,15120,12965,0.0467531,493.59860968857384,OPTIMAL,1
convex_cross,120,Gurobi,39.594924,0.5972361,1.5365658,0.7363748,0.0955992,484.82094406182364,OPTIMAL,20160,17285,0.042654,490.6647354525312,OPTIMAL,9
convex_cross,180,Gurobi,61.7096479,0.7187378,1.7399506,0.989874,0.3359927,484.0219243202301,OPTIMAL,30240,25925,0.0458189,490.91742715341195,OPTIMAL,15
convex_cross,240,Gurobi,96.3567315,0.8140723,1.9160607,1.8200892,0.1768181,492.83488402555935,OPTIMAL,40320,34565,0.0407268,492.49967866957667,OPTIMAL,0
convex_cross,360,Gurobi,157.142619,0.7302958,1.9909969,3.2358407,0.2748441,497.438427779289,OPTIMAL,60480,51845,0.0465303,491.741207689701,OPTIMAL,3
convex_per,4,Gurobi,1.845183,0.2681798,0.8701782,0.0072746,0.0092597,571.3285809796186,OPTIMAL,672,581,0.0551191,529.3109925118247,OPTIMAL,0
convex_per,8,Gurobi,1.7382154,0.2877083,0.8608396,0.0106215,0.0141704,580.5258573639276,OPTIMAL,1344,1157,0.0962783,537.7502756815295,OPTIMAL,0
convex_per,12,Gurobi,1.1398636,0.3037214,0.9112978,0.0160021,0.0189052,576.430241813158,OPTIMAL,2016,1733,0.0414949,526.1894592533647,OPTIMAL,0
convex_per,16,Gurobi,1.6683333,0.3259637,0.9617793,0.0258942,0.0190843,560.9954826464277,OPTIMAL,2688,2309,0.0598095,514.7879419595746,OPTIMAL,0
convex_per,20,Gurobi,1.9743065,0.3411699,1.0204453,0.0310254,0.021149,537.1421317390046,OPTIMAL,3360,2885,0.0365826,516.3742933411722,OPTIMAL,0
convex_per,30,Gurobi,3.2131641,0.3440006,1.072961,0.0618543,0.0282765,530.7313051105914,OPTIMAL,5040,4325,0.040101,511.5511355385729,OPTIMAL,0
