base_name,rp,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand
0_HourlyBenchmark,1,Gurobi,0.0,1.1477572,3.8387502,4.2953919,0.6664283,478.4794048830108,OPTIMAL,122640,105125,0.0,0.0,,10
convex_cross,4,Gurobi,1.1737801,0.3055794,0.7191666,0.0070296,0.0097378,603.0524354358431,OPTIMAL,672,581,0.0738124,549.3726103486283,OPTIMAL,2
convex_cross,8,Gurobi,1.9644931,0.295518,0.8767802,0.0129052,0.0123403,510.04734719351006,OPTIMAL,1344,1157,0.0361347,513.1421966149851,OPTIMAL,0
convex_cross,12,Gurobi,4.0884584,0.2900553,0.8208717,0.0173339,0.0148457,520.4543070928726,OPTIMAL,2016,1733,0.0323608,513.604562082238,OPTIMAL,0
convex_cross,16,Gurobi,3.2175246,0.3089892,0.9580978,0.0252514,0.0165879,513.9781609682599,OPTIMAL,2688,2309,0.0337114,510.85367643405255,OPTIMAL,0
convex_cross,20,Gurobi,4.171337,0.3383744,0.9815318,0.027761,0.0186315,514.5811383338106,OPTIMAL,3360,2885,0.0371642,510.6335112065698,OPTIMAL,0
convex_cross,30,Gurobi,5.9969276,0.3644688,1.1003902,0.0481482,0.0257618,508.48761432499293,OPTIMAL,5040,4325,0.0363269,509.5855486624748,OPTIMAL,0
convex_cross,60,Gurobi,10.9926734,0.4159312,1.171215,0.1146217,0.0414564,511.0737761172681,OPTIMAL,10080,8645,0.033042,508.379242481039,OPTIMAL,0
convex_cross,90,Gurobi,16.5149843,0.4510283,1.3608705,0.281341,0.0595145,510.8710808725704,OPTIMAL,15120,12965,0.0326632,507.70652618891296,OPTIMAL,0
convex_cross,120,Gurobi,22.3122826,0.4399175,1.1456296,0.4041736,0.0800141,510.5073675134281,OPTIMAL,20160,17285,0.0328188,506.23254279680435,OPTIMAL,0
convex_cross,180,Gurobi,36.9449479,0.5030734,1.3592968,0.5676716,0.1158446,508.8975901175818,OPTIMAL,30240,25925,0.0428683,505.45289368450665,OPTIMAL,0
convex_cross,240,Gurobi,58.3954094,0.6135693,1.6692161,1.0554685,0.1630806,506.7345252219529,OPTIMAL,40320,34565,0.0351924,505.1545378671287,OPTIMAL,0
convex_cross,360,Gurobi,88.917826,0.7036331,1.9693928,1.3285614,0.2221326,504.27939824503886,OPTIMAL,60480,51845,0.0350254,504.6693498161372,OPTIMAL,0
convex_per,4,Gurobi,0.7476999,0.3200327,1.1418952,0.0064337,0.0120431,564.8794055898121,OPTIMAL,672,581,0.0475177,524.9281550972141,OPTIMAL,0
convex_per,8,Gurobi,2.260797,0.3167015,0.7655537,0.0120065,0.0124618,547.9420868507301,OPTIMAL,1344,1157,0.058931,513.83671578164,OPTIMAL,0
convex_per,12,Gurobi,1.2573891,0.3101872,0.8676612,0.0451292,0.0163797,520.1569357658984,OPTIMAL,2016,1733,0.0308182,511.5810890236613,OPTIMAL,0
convex_per,16,Gurobi,1.5684538,0.3095022,0.9873318,0.0279996,0.0179755,514.8650729496227,OPTIMAL,2688,2309,0.0302334,510.7811434147817,OPTIMAL,0
convex_per,20,Gurobi,2.0314537,0.3357621,1.0101551,0.0303743,0.0187832,520.7017704880201,OPTIMAL,3360,2885,0.0301378,510.6801967375057,OPTIMAL,0
convex_per,30,Gurobi,2.7712488,0.348285,1.0932257,0.0494852,0.0254092,512.6433603094551,OPTIMAL,5040,4325,0.0299164,509.61001671066265,OPTIMAL,0
convex_per,60,Gurobi,5.9663679,0.3767737,1.1484401,0.1217847,0.0403254,509.75924497007753,OPTIMAL,10080,8645,0.029296,508.13596448859647,OPTIMAL,0
convex_per,90,Gurobi,10.3383734,0.4291857,0.9255709,0.2837573,0.0580894,508.06728092255673,OPTIMAL,15120,12965,0.0289578,507.46265970432574,OPTIMAL,0
convex_per,120,Gurobi,11.2115648,0.4225418,1.1292997,0.4591047,0.0768505,508.78129490165026,OPTIMAL,20160,17285,0.0312702,506.0442515330698,OPTIMAL,0
convex_per,180,Gurobi,17.1080133,0.5147574,1.4506657,0.6211863,0.1112116,509.0891783896317,OPTIMAL,30240,25925,0.031428,505.0171376713756,OPTIMAL,0
