base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75,total_steps_loss_of_load_mean,total_steps_loss_of_load_q25,total_steps_loss_of_load_q75,loss_of_load_e_demand_mean,loss_of_load_e_demand_q25,loss_of_load_e_demand_q75,loss_of_load_h2_demand_mean,loss_of_load_h2_demand_q25,loss_of_load_h2_demand_q75,total_lol_mean,total_lol_q25,total_lol_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,20.0644443,20.0644443,20.0644443,88.9671613,88.9671613,88.9671613,514.0848173,514.0848173,514.0848173,22.9600704,22.9600704,22.9600704,646.0764933,646.0764933,646.0764933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmedoids_cross_convex,4,4.0625862900000005,2.3505828,3.8113718,0.5309611000000001,0.517099925,0.554205925,3.62551351,2.66689835,2.8945309999999997,5.07285332,4.922692575,5.21406945,0.28151676999999997,0.19724845,0.256352625,13.57343099,11.05858085,16.255030025,0.27766272335843756,0.2658882399572396,0.287003957762097,-25.0,-25.0,-25.0,-9.0,-9.0,-9.0,-34.0,-34.0,-34.0,-36.46423909168288,-36.46423909168288,-36.46423909168288,-5.139846435702908,-5.139846435702909,-5.139846435702909,-41.604085527385784,-41.604085527385784,-41.604085527385784
kmedoids_cross_convex,8,4.49258234,3.8399917500000003,5.1878419000000005,0.74166237,0.726449675,0.75782815,4.01347247,3.886279975,4.205629025,11.79415077,11.492139,11.85528755,0.32161249999999997,0.31532915,0.326091425,21.36348045,20.485098125,22.513726725000005,0.2315089781790422,0.24105901915569364,0.2476896237800998,-13.3,-25.0,-25.0,-2.7,-9.0,-9.0,-16.0,-34.0,-34.0,-14.486207335128785,-36.46423909168288,-36.46423909168288,9.571904870727526,-5.139846435702909,-5.139846435702909,-4.914302464401258,-41.604085527385784,-41.604085527385784
kmedoids_cross_convex,12,4.69058143,3.967701525,5.467490675,0.9488133999999999,0.918817825,0.96811065,5.07388761,4.8888648,5.174006674999999,23.770487260000003,21.423293450000003,24.379936,0.45969124000000006,0.4459063,0.477745625,34.94346094,32.13260745,36.422216199999994,0.1764138527111556,0.11447054177119548,0.2332366053718704,36.2,-25.0,113.0,8.9,-9.0,7.0,45.1,-34.0,120.0,116.05762351465413,-36.46423909168288,235.53439259759386,21.051139579334574,-5.1398464357029106,19.012422286019483,137.1087630939887,-41.60408552738579,248.69035188261043
kmedoids_cross_convex,16,7.047070549999999,5.175124575,5.774275925,1.20945481,1.168074425,1.255803925,6.354157800000001,6.201889,6.528093050000001,36.88534831,32.644465124999996,37.68725825,0.59161328,0.5654248,0.6159703750000001,52.08764475,48.4757162,55.513626775,0.13035164316919642,0.11427328715793736,0.15253806965000935,76.7,6.75,131.0,12.8,-6.25,12.5,89.5,0.5,145.25,186.20244363697338,36.8210990186537,293.36789604972955,24.04957492882275,-3.184643205337733,18.94519074761675,210.25201856579616,33.63645581331596,339.41058791907847
kmedoids_cross_convex,20,8.54658409,5.615264400000001,12.37995585,1.4173536599999998,1.3882431499999999,1.452620925,7.53280107,7.257365025,7.848106,49.41839438,46.681041900000004,51.883235400000004,0.82037628,0.7105785499999999,0.76509065,67.73550947999999,63.643513225,70.009545825,0.08704719581801423,0.05088733771035936,0.11698709289216346,115.7,108.25,144.0,19.3,6.0,20.5,135.0,119.0,192.5,325.4513524768886,238.31401055878302,440.906584525451,104.13670642591077,0.44500395105661505,46.23665898455523,429.5880589027993,250.85388946324107,479.9316087943931
kmedoids_cross_convex,30,10.87600947,7.80726775,14.446398175,2.12665438,1.95400975,2.206052625,10.40019171,9.885170775,10.91733185,85.20138752,77.05259997499999,89.943570575,2.05918478,1.0747082250000002,1.202472475,110.66342786,102.38150555,120.4377805,0.03836957205476335,0.028838300839237243,0.035746749858434713,158.7,106.5,162.0,38.0,7.0,51.75,196.7,113.5,207.0,448.48757834200535,341.785461042979,459.8201546090405,46.00522567120364,11.998120656307094,70.83593560909772,494.4928040132089,353.363794874074,492.5060465034788
kmedoids_cross_convex,45,15.860065870000003,11.5103695,18.989916025000003,3.19891891,2.87881695,3.436100425,16.81897474,14.91475705,16.0156056,124.03846268000002,119.584242525,129.600514375,1.8483306600000002,1.6670255749999998,2.116036575,161.76475286000002,159.30050795,167.69295965,0.02946683055169469,0.023780906245196645,0.03306373917473422,219.8,117.25,308.0,44.7,8.5,47.75,264.5,125.75,353.75,576.2521855077221,415.60066931931976,709.4145773231147,59.91927534076444,14.852332893346777,52.37361321855152,636.1714608484865,434.4223792012501,769.5432232799507
kmedoids_cross_convex,60,11.618086090000002,10.903904350000001,12.34664545,3.92721866,3.6745313,3.813616025,20.235311350000003,19.613521025,21.002332974999998,189.20875213000002,175.362670625,206.7790796,2.83039345,2.78897175,2.94906165,227.81976167999997,212.9895814,244.788300825,0.02731745849563281,0.022249197736962507,0.027710941177831863,235.2,164.0,251.0,33.8,11.0,32.75,269.0,177.75,270.25,589.1409776975423,451.19194560551625,659.087767402872,42.97894350287368,14.265619163900267,37.823731510211424,632.119921200416,470.1187818317611,696.3523502204163
kmedoids_cross_convex,90,25.950363829999997,22.145371875,28.7472006,8.717889119999999,7.7372248500000005,9.8890109,40.96835315,38.2184317,44.781674499999994,286.62279864,266.14765259999996,294.260890875,8.673622980000001,3.7068509,15.3787141,370.93302772,345.278495375,386.40052959999997,0.02511702167154604,0.020850470092038585,0.026782936968387305,252.7,209.0,281.0,27.7,18.75,29.5,280.4,217.25,304.0,563.9001904287057,457.96901592643303,614.4448274993417,27.025537271016155,23.321684720495707,35.461870693617115,590.925727699722,477.11404718702374,646.9216922407447
kmedoids_cross_convex,120,49.80631215,47.334378775000005,52.492273499999996,12.41704708,11.082725300000002,13.61303315,70.30051766,68.25281075,72.871510625,301.44402238000004,288.970133825,311.919753775,5.64553586,5.6654487,5.77711775,439.61343513,430.84732947500004,449.46130844999993,0.025011690240165085,0.021227626396374717,0.028842746741155795,240.2,190.25,287.75,20.4,16.0,25.5,260.6,210.25,311.5,596.611580604634,485.28259194223,674.6888138953314,23.245239957707994,20.49751061000678,30.1345482172416,619.8568205623421,507.1062158265273,701.6393907366459
kmedoids_cross_convex,180,78.6516394,74.52962765000001,83.398511375,21.85426942,18.723383724999998,25.587448175,111.74568927,103.358892175,120.8071123,346.90525322999997,339.498317175,359.8136273,9.81542664,8.3959259,8.765643175,568.9722779599999,564.56645515,591.7945929499999,0.023702034666571545,0.01945777301107514,0.026603825609852482,246.1,208.0,301.75,20.2,13.75,25.75,266.3,226.0,327.75,600.9754546200509,502.44834601414885,658.2527158101849,23.47378011824216,18.679573339782138,26.69979346087007,624.449234738293,526.6578146469461,676.8948490488093
