base_name,rp,time_to_cluster_mean,time_to_cluster_q25,time_to_cluster_q75,time_to_read_mean,time_to_read_q25,time_to_read_q75,time_to_create_mean,time_to_create_q25,time_to_create_q75,time_to_solve_mean,time_to_solve_q25,time_to_solve_q75,time_to_save_mean,time_to_save_q25,time_to_save_q75,total_time_mean,total_time_q25,total_time_q75,rel_regret_mean,rel_regret_q25,rel_regret_q75,num_loss_of_load_e_demand_mean,num_loss_of_load_e_demand_q25,num_loss_of_load_e_demand_q75,num_loss_of_load_h2_demand_mean,num_loss_of_load_h2_demand_q25,num_loss_of_load_h2_demand_q75,total_steps_loss_of_load_mean,total_steps_loss_of_load_q25,total_steps_loss_of_load_q75,loss_of_load_e_demand_mean,loss_of_load_e_demand_q25,loss_of_load_e_demand_q75,loss_of_load_h2_demand_mean,loss_of_load_h2_demand_q25,loss_of_load_h2_demand_q75,total_lol_mean,total_lol_q25,total_lol_q75
0_HourlyBenchmark,1,0.0,0.0,0.0,73.1236619,73.1236619,73.1236619,162.2879955,162.2879955,162.2879955,541.8576413,541.8576413,541.8576413,18.4460111,18.4460111,18.4460111,795.7153097999999,795.7153097999999,795.7153097999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmedoids_cross_convex,4,8.31170027,7.395646924999999,9.20741565,2.41248221,1.7192827999999998,3.084975975,12.171315969999998,6.480689775,17.843050125,5.0748708,4.9909529,5.28633185,0.36713502,0.321672325,0.39047449999999995,28.337504270000004,23.350878100000003,34.3808067,0.4900933240094479,0.4830595332465217,0.49696954794415377,467.8,377.25,581.75,100.8,57.5,72.75,568.6,531.0,663.25,1128.2768436138565,1095.529052961388,1211.2041797471543,113.09551535279942,51.17563790931054,107.30728629846925,1241.3723589666563,1240.42101008503,1280.4430976434053
kmedoids_cross_convex,8,12.48988607,9.997744675,12.974617225,2.7477448299999994,2.1897279,3.0887108249999997,14.84610195,11.131041925,17.303770749999998,12.96583241,12.024490875000001,13.46314685,0.59720926,0.542719925,0.659941725,43.64677452,40.87549709999999,46.025758024999995,0.4620911018125481,0.45617398973420636,0.4632317858824615,408.3,350.75,469.25,49.7,35.0,60.5,458.0,385.0,521.5,1067.899830348089,926.9628348126257,1198.5867193868066,48.89812292358751,27.495455163578026,67.36259618501933,1116.7979532716763,983.0297688953951,1255.5150110434736
kmedoids_cross_convex,12,18.28794518,16.650533975,18.797955975,4.3614998499999995,3.42822445,5.2364064,21.261036060000002,14.83127905,26.094481050000002,26.191170859999993,24.753587024999998,26.6571748,0.7684624099999999,0.723439975,0.797592525,70.87011436000002,60.921647575,78.45658497500001,0.44594135874146695,0.4442070355705341,0.4509964458162886,362.5,318.5,408.5,40.1,30.75,46.75,402.6,343.0,454.75,1056.7665450751206,889.4747203089402,1251.7052891525714,37.647731320748925,21.581043970797094,54.21536152812753,1094.4142763958694,908.8097597139874,1275.6721778711185
kmedoids_cross_convex,16,16.69383238,13.360855925,18.789042675,4.82081238,3.266465125,6.1532485249999995,21.69708047,17.934605775,25.266613225,36.07297981999999,35.2299837,37.389972875,0.9247848,0.84525085,0.9414297,80.20948985000003,71.76174485,86.331305325,0.4154247839859061,0.3843887894454332,0.44318010727000784,341.5,285.25,449.5,38.6,25.75,51.0,380.1,322.75,500.5,991.8821666621856,944.7521860337852,1224.5334367059247,36.78988245135521,18.078889155676983,54.97617167656918,1028.6720491135409,976.1213330230481,1270.8933962338026
kmedoids_cross_convex,20,20.985451239999996,13.9443527,25.973007875,4.96689111,3.79398445,5.898338924999999,23.241543799999995,19.8943152,25.9880997,47.150626450000004,43.18848445,46.74187215,1.0295023,0.986907625,1.0655044249999999,97.37401489999999,87.67896097500001,101.908256175,0.3881808311665112,0.36558751198975126,0.4085945727199722,293.5,247.0,325.0,37.1,31.5,35.75,330.6,274.25,360.25,1026.2924115959954,886.5058335135642,1144.513355896447,25.999869394127565,18.7956558425471,25.019369199299867,1052.292280990123,909.5337952916112,1167.5600085770363
kmedoids_cross_convex,30,30.97444077,28.109352849999997,35.34843205,7.41360232,7.399539675000001,7.7749978749999995,32.09555598,28.874747149999997,38.67199915,76.63468702,72.801217475,78.664951125,1.40862476,1.349572425,1.4578438500000002,148.52691084999998,141.2940186,156.288887175,0.3525722635506439,0.3409627174296695,0.36478932056910346,238.7,183.5,270.0,26.2,9.0,37.5,264.9,187.75,294.0,734.2143503244713,405.22382126495893,975.6976142835847,22.93582264344632,10.888262289983786,31.420512988426218,757.1501729679178,413.93314653531826,1003.3848856267547
kmedoids_cross_convex,45,33.09041509000001,31.68173795,37.07112695,9.33209979,7.894673425000001,10.16730205,38.07519527,33.2725824,41.694811475,109.94445439,103.569567025,116.7283029,2.15975294,1.9887165749999998,2.2951299499999998,192.60191748,182.35165975,205.70086845,0.32490097499613707,0.3154492693163734,0.3330987005707338,228.3,161.75,253.75,23.3,8.75,28.0,251.6,182.75,276.5,611.4582223525707,334.6502854022289,690.0856748152307,20.723140195180452,9.046665566570116,28.523174038627598,632.1813625477512,336.2996906967991,713.9478070963738
kmedoids_cross_convex,60,34.30751465,29.166451475,38.2287145,18.235261209999997,12.191969850000001,18.995530674999998,45.00043263,42.47482625,45.747892975,172.72364935000002,155.92715884999998,179.713001475,2.84727748,2.508483575,2.9527094,273.11413531999995,246.61482415,288.45204202499997,0.3131888364832028,0.3042514950215561,0.3124514174909957,195.7,135.75,231.25,17.3,6.75,24.0,213.0,143.0,255.5,502.8931824805228,243.7779601501108,590.3585084232348,17.558929257603374,6.732254995510894,23.094424383487002,520.4521117381262,245.9671642485166,615.1807873913867
kmedoids_cross_convex,90,34.57448204999999,30.267915825,37.485016675,13.49405124,11.951308275,13.858971125,82.28690327000001,81.895198975,84.429780225,243.66933386000005,229.94081095,259.903369075,5.560277859999999,5.586313375,5.680069425,379.58504828,358.81175890000003,392.01613352500004,0.3017440099392694,0.29620516069280584,0.3074159599444495,167.5,103.5,209.25,20.6,8.5,38.75,188.1,111.5,245.75,507.45246023651714,253.5944867953376,790.3779744507724,21.094175743019658,7.003418402547098,32.71667187082484,528.5466359795367,260.5979051978847,825.3245464715509
kmedoids_cross_convex,120,48.8533308,47.58927025,50.678364200000004,19.97911319,17.580768300000003,22.2406766,111.17825905,108.9966736,116.12527915,274.01643959,268.10256150000004,284.56182809999996,7.143816459999999,7.126383200000001,7.413598224999999,461.1709590899999,453.27933425,474.26444595,0.29171405788246413,0.28481725423765425,0.3024135090539365,143.4,82.75,195.25,19.0,10.0,32.5,162.4,86.75,226.75,479.0184831886033,219.1369738389629,776.032303403971,23.303804557593462,6.3299024205471,29.075404431032545,502.3222877461968,225.99769817701,833.5499493808559
kmedoids_cross_convex,180,74.86304112,71.4296164,81.50660682499999,36.93987928,35.00708830000001,39.365211325,183.51739938999998,177.874831575,190.91169244999998,336.94611043000003,323.93482745000006,353.011972875,10.458732270000002,9.96769785,10.492245875000002,642.72516249,612.805702675,669.5922305749999,0.21459185194325509,0.21173329645949215,0.260881690116476,110.5,53.75,162.5,33.0,4.25,41.25,143.5,56.0,201.75,389.15823406416,152.8372272113093,567.2062695257214,63.493176413624596,4.235213478391984,67.34665548934788,452.6514104777846,154.76073693810642,637.4251862419584
