base_name,period_duration,method,distance,weight_type,niters,learning_rate,stochastic_method,run_case
kmedoids_cross_dirac,24,k_medoids,Euclidean,dirac,2000,0.001,cross_scenario,true
kmedoids_cross_convex,24,k_medoids,Euclidean,convex,2000,0.001,cross_scenario,true
convex_cross,24,convex_hull,Euclidean,convex,2000,0.001,cross_scenario,true
convex_cross_dirac,24,convex_hull,Euclidean,dirac,2000,0.001,cross_scenario,true
conicalb_cross,24,convex_hull_with_null,Euclidean,conical_bounded,2000,0.001,cross_scenario,true
kmedoids_per_dirac,24,k_medoids,Euclidean,dirac,2000,0.001,per_scenario,true
kmedoids_per_convex,24,k_medoids,Euclidean,convex,2000,0.001,per_scenario,true
convex_per,24,convex_hull,Euclidean,convex,2000,0.001,per_scenario,true
convex_per_dirac,24,convex_hull,Euclidean,dirac,2000,0.001,per_scenario,true
conicalb_per,24,convex_hull_with_null,Euclidean,conical_bounded,2000,0.001,per_scenario,true
